trial,raw_sqnr_db,aligned_sqnr_db,alpha_real,alpha_imag
144,56.565748254599264,56.60301278976362,1.0000832269065159,-0.00010916130100700438
145,56.44616368804476,56.50621138123245,1.0001435498735616,-0.00010259890058356903
146,56.33890736618503,56.3848220825654,1.0001088153341904,-0.00011224060990035365
147,56.39034802422376,56.42671387439193,1.000085933773349,-0.00010846114324540315
148,56.36081651210338,56.410690624202175,1.000124623758101,-0.00010426087279415212
149,56.31099584085913,56.36181142192062,1.0001357272340854,-9.373328196061168e-05
150,56.36544489784956,56.41633234881134,1.000133235584089,-9.568045256794061e-05
151,56.29259042606751,56.33599571750885,1.0001001794047275,-0.00011541743945330898
152,56.25028557527561,56.29328917059979,1.0001160805588538,-9.947152400293621e-05
153,56.510854026252055,56.55324361423821,1.0001115360417474,-9.620398340983384e-05
154,56.39150332564745,56.43133483039679,1.0001239663306625,-7.478826811447309e-05
155,56.5450670248927,56.58633000364861,1.0000964253085947,-0.00010796946541154483
156,56.39235666174176,56.44307707896662,1.0001398101807384,-8.429980638970198e-05
157,56.43466067706554,56.48076750760005,1.0001151421872818,-0.00010367196938091325
158,56.463369258350866,56.49711593954979,1.0000968706970659,-8.997083387373812e-05
159,56.42841247450942,56.479264972566696,1.0001179848008266,-0.00011215989185317721
160,56.43177452224022,56.47467057662358,1.0001005959365525,-0.00011062010502142365
161,56.299668136272004,56.35725784200809,1.0001305033460262,-0.00011772792333773867
162,56.40610378656635,56.462849288040935,1.0001260702660923,-0.00011751663157832445
163,56.54574552871043,56.59855578734036,1.0001405056923298,-8.390618262917852e-05
164,56.53262202769093,56.565958142551494,1.000098240232693,-8.568896400153612e-05
165,56.398874092644995,56.44432157765803,1.0001201208244994,-9.711401294655112e-05
166,56.45637783529088,56.495945939394474,1.0001095767702557,-9.223098988291964e-05
167,56.273440978690424,56.32052448629355,1.0001191829778944,-0.0001059905605468011
168,56.4606867748914,56.52130883965236,1.0001463643258204,-9.950657678843996e-05
169,56.4858554292956,56.52578474544001,1.0001029926319456,-9.976097667577776e-05
170,56.439799603083465,56.5031677744943,1.0001304424843118,-0.00012599289234696207
171,56.265416975632796,56.3083794288647,1.0001258892699014,-8.612884618313405e-05
172,56.3136858144961,56.35729447288492,1.0001228602979457,-9.087730150839342e-05
173,56.437987903125546,56.50171827374548,1.0001410777148216,-0.00011483748019791625
174,56.35217480532701,56.39790134288715,1.0001301445404616,-8.56054282948922e-05
175,56.333166316151086,56.3709113358117,1.0000950644988646,-0.00010534686601250169
176,56.39457539371379,56.4384499531901,1.000112966296382,-0.00010148702523519815
177,56.379017364233306,56.41835829300831,1.000108326933212,-9.501672907317882e-05
